t,p1,p2,x1,y1,z1,vx1,vy1,vz1,x2,y2,z2,vx2,vy2,vz2,d
240932805.51463726,3,2024,-2076508581.7911265,147134263528.047,-10348885.646625722,-30266.476702374028,-523.3043239530028,-0.3778595801955108,-2077184587.8867075,147122703366.33762,-6552908.111440808,-36924.68988248267,13230.2537714515,-2753.3554654608547,0.9553112630515934
240932805.51463726,3,540,-2076508581.7911265,147134263528.047,-10348885.646625722,-30266.476702374028,-523.3043239530028,-0.3778595801955108,-2085789184.4381692,147126493848.35175,-7341829.070771358,-35942.593341986074,13586.013015064931,-2872.2325920810895,0.9776807512213537
240932805.51463726,3,3329,-2076508581.7911265,147134263528.047,-10348885.646625722,-30266.476702374028,-523.3043239530028,-0.3778595801955108,-2078238053.0033216,147123170845.32388,-6651594.245643694,-36835.23229804645,13339.604255183278,-2787.0899270265745,0.9265904080982379
240932873.58669043,3,3449,-2078568882.8656526,147134227891.47626,-10348911.372141613,-30266.47267969829,-523.7206764703529,-0.3779723533047114,-2089089789.3598585,147127787336.14713,-7615226.17711107,-35723.77671954721,13637.205947073428,-2897.6522426803317,0.9904931040731284
240932873.58669043,3,3461,-2078568882.8656526,147134227891.47626,-10348911.372141613,-30266.47267969829,-523.7206764703529,-0.3779723533047114,-2077550564.2147408,147122659703.80908,-6542757.001597262,-37072.163032872915,13154.856253111178,-2734.2200994978393,0.958018837628871
240932873.58669043,3,1301,-2078568882.8656526,147134227891.47626,-10348911.372141613,-30266.47267969829,-523.7206764703529,-0.3779723533047114,-2077821582.0337138,147122772166.80206,-6565856.82840591,-37055.77761351008,13187.247500602583,-2744.178733808812,0.9475597432700239
240932873.58669043,3,2115,-2078568882.8656526,147134227891.47626,-10348911.372141613,-30266.47267969829,-523.7206764703529,-0.3779723533047114,-2088874655.9773664,147127695334.51825,-7596067.546323769,-35742.98753402759,13651.445034279353,-2902.0811860677004,0.9805726578385424
240932938.17781025,3,1881,-2080523828.1061704,147134194051.01254,-10348935.789254535,-30266.468857442625,-524.1157386228268,-0.37807934207835203,-2078664333.8300843,147122932240.60712,-6598051.370310654,-37159.14032061253,13151.39406616561,-2737.1058482713966,0.9418731509815959
240932938.17781025,3,1287,-2080523828.1061704,147134194051.01254,-10348935.789254535,-30266.468857442625,-524.1157386228268,-0.37807934207835203,-2078859429.4635093,147123025093.66898,-6617118.434071916,-37150.10838571288,13179.008041865054,-2745.735519537959,0.9323217224408293
240932938.17781025,3,1254,-2080523828.1061704,147134194051.01254,-10348935.789254535,-30266.468857442625,-524.1157386228268,-0.37807934207835203,-2078991389.2011602,147123073152.87784,-6626311.246611809,-37142.576490184045,13195.350780694484,-2750.856343275087,0.9271607217231947
240932999.92749742,3,2731,-2082392772.9764278,147134161675.36874,-10348959.138693163,-30266.46519852168,-524.4934217879244,-0.3781816083033653,-2079547748.275159,147123125024.98904,-6635921.151367552,-37249.520924403514,13112.516714972407,-2729.1782518028826,0.9396954378889097
240932999.92749742,3,3789,-2082392772.9764278,147134161675.36874,-10348959.138693163,-30266.46519852168,-524.4934217879244,-0.3781816083033653,-2078718338.286981,147122762286.88806,-6557875.301938563,-37271.38750144103,12996.304293638814,-2693.4184004349318,0.9848202423453235
240932999.92749742,3,3612,-2082392772.9764278,147134161675.36874,-10348959.138693163,-30266.46519852168,-524.4934217879244,-0.3781816083033653,-2079742229.980849,147123210872.3019,-6653298.282158324,-37242.86140516915,13140.699497692487,-2738.0345062362912,0.9295527366921147
240932999.92749742,3,24,-2082392772.9764278,147134161675.36874,-10348959.138693163,-30266.46519852168,-524.4934217879244,-0.3781816083033653,-2079564944.8088338,147123131655.65787,-6637039.318659085,-37248.87231734135,13114.839550480761,-2729.9234221914594,0.9388704954278686
240933060.4994751,3,1135,-2084226072.5221324,147134129894.54456,-10348982.04893888,-30266.46160481624,-524.8639018703687,-0.3782819088791739,-2079813341.647106,147123036644.82422,-6612224.293385121,-37338.20954566118,12971.944191052935,-2689.6906208046885,0.9806802365970676
240933123.6275034,3,671,-2086136734.448621,147134096748.73398,-10349005.932428995,-30266.45785464652,-525.2500159019812,-0.37838642597789485,-2081736191.9316757,147123669021.2931,-6743027.378599272,-37403.23612395939,13056.375096163896,-2720.445359282135,0.9312105964019471
240933123.6275034,3,3318,-2086136734.448621,147134096748.73398,-10349005.932428995,-30266.45785464652,-525.2500159019812,-0.37838642597789485,-2080720720.9875343,147123218253.3689,-6645732.913122111,-37403.29074531462,12904.61216388309,-2672.895954389181,0.9958943144630441
240933123.6275034,3,1253,-2086136734.448621,147134096748.73398,-10349005.932428995,-30266.45785464652,-525.2500159019812,-0.37838642597789485,-2081348570.134981,147123504342.22968,-6708328.078771838,-37405.46241070245,12997.515257166397,-2701.856426872123,0.9549134972948148
240933123.6275034,3,3379,-2086136734.448621,147134096748.73398,-10349005.932428995,-30266.45785464652,-525.2500159019812,-0.37838642597789485,-2081447981.5678253,147123547274.89258,-6717983.397296299,-37405.164808182126,13012.527201267507,-2706.53003088582,0.9487152101090169
240933250.63560474,3,1225,-2089980819.3155239,147134029988.39496,-10349054.00392168,-30266.450294740745,-526.0268444276296,-0.378596655744866,-2083479274.9401207,147123999055.7162,-6804830.2242562305,-37527.75916652138,12881.35135320405,-2674.0443498048844,0.977401985419464
240933250.63560474,3,3254,-2089980819.3155239,147134029988.39496,-10349054.00392168,-30266.450294740745,-526.0268444276296,-0.378596655744866,-2083661319.7538035,147124080695.74182,-6822795.389255913,-37532.45943258822,12909.01015733518,-2682.8601033563905,0.9644512583057275
240933312.34700927,3,224,-2091848604.359776,147133997514.8931,-10349077.370804235,-30266.446614310305,-526.4042945326557,-0.3786987794584645,-2084686489.3158584,147124309508.9447,-6865664.2155139875,-37580.11789973544,12840.3640540441,-2665.427967154963,0.983157940171121
240933312.34700927,3,1189,-2091848604.359776,147133997514.8931,-10349077.370804235,-30266.446614310305,-526.4042945326557,-0.3786987794584645,-2084675988.1027112,147124305796.55475,-6865986.296645514,-37579.878024975565,12838.947690410278,-2664.8741822295965,0.9838460063963994
240933312.34700927,3,2491,-2091848604.359776,147133997514.8931,-10349077.370804235,-30266.446614310305,-526.4042945326557,-0.3786987794584645,-2085223660.1331584,147124543637.56226,-6917193.618230638,-37598.76039005882,12922.810930889304,-2692.067540532069,0.9441158948955416
240933312.34700927,3,2645,-2091848604.359776,147133997514.8931,-10349077.370804235,-30266.446614310305,-526.4042945326557,-0.3786987794584645,-2085078913.8346448,147124480623.90256,-6902941.869961829,-37593.86609797121,12899.981704894233,-2684.6993007120946,0.9545776470388703
240933312.34700927,3,1395,-2091848604.359776,147133997514.8931,-10349077.370804235,-30266.446614310305,-526.4042945326557,-0.3786987794584645,-2085059182.944613,147124478054.97067,-6902305.957582511,-37593.926243121656,12897.471451275876,-2683.924194609821,0.9556097841517571
240933372.75845262,3,146,-2093677043.975553,147133965702.8889,-10349100.251563452,-30266.44300685952,-526.7737937956963,-0.3787987367768907,-2085798013.3453338,147124587432.29364,-6921686.340122925,-37623.67286594354,12785.57798091241,-2652.030429322764,0.9970942833441994
240933372.75845262,3,181,-2093677043.975553,147133965702.8889,-10349100.251563452,-30266.44300685952,-526.7737937956963,-0.3787987367768907,-2086065437.525938,147124704634.7504,-6945214.248207017,-37635.95908050659,12824.77098168987,-2664.9856906833934,0.9768962246670195
240933372.75845262,3,546,-2093677043.975553,147133965702.8889,-10349100.251563452,-30266.44300685952,-526.7737937956963,-0.3787987367768907,-2086540666.6387572,147124910198.2042,-6990094.9767748155,-37657.253893488676,12898.204121320843,-2689.0967314050276,0.941408924030787
240933433.30979684,3,728,-2095509717.6743543,147133933794.81482,-10349123.191369051,-30266.439386538103,-527.144148952272,-0.37889891054164226,-2087656647.0302973,147125184995.7976,-7043355.825063036,-37701.04331290339,12835.602143863343,-2673.5102292458905,0.9573564508453044
240933433.30979684,3,2678,-2095509717.6743543,147133933794.81482,-10349123.191369051,-30266.439386538103,-527.144148952272,-0.37889891054164226,-2087899412.8417208,147125284806.56842,-7065662.645789638,-37713.796432790194,12873.410746593696,-2686.0666133992045,0.9390882891917095
240933433.30979684,3,1481,-2095509717.6743543,147133933794.81482,-10349123.191369051,-30266.439386538103,-527.144148952272,-0.37889891054164226,-2087305305.448979,147125028483.7139,-7010784.488677147,-37681.127147190615,12782.487101044955,-2655.7040485482835,0.9846380328917096
240933433.30979684,3,897,-2095509717.6743543,147133933794.81482,-10349123.191369051,-30266.439386538103,-527.144148952272,-0.37889891054164226,-2088008504.501188,147125337877.7005,-7078431.6904709395,-37720.66185767824,12891.583264956045,-2692.0858256668357,0.9303854961452814
240933493.46797466,3,695,-2097330491.408897,147133902071.71576,-10349145.988230288,-30266.43578524602,-527.5120995581025,-0.37899841895925007,-2088769643.2813025,147125453646.78705,-7095906.424743517,-37736.256218526934,12770.419520345244,-2656.734728443486,0.9767615814472509
240933493.46797466,3,3745,-2097330491.408897,147133902071.71576,-10349145.988230288,-30266.43578524602,-527.5120995581025,-0.37899841895925007,-2088614547.7035968,147125388795.04276,-7082467.525951746,-37726.55868600265,12747.967566515026,-2649.142331227068,0.9888521703800401
240933493.46797466,3,904,-2097330491.408897,147133902071.71576,-10349145.988230288,-30266.43578524602,-527.5120995581025,-0.37899841895925007,-2088864427.7736444,147125491720.5105,-7105162.022351723,-37742.06233553115,12784.365047098967,-2661.3256973042144,0.9694488066653104
240933557.3358261,3,430,-2099263543.5110087,147133868368.1767,-10349170.197418224,-30266.43195699451,-527.9027401813823,-0.37910404733113295,-2090295442.2779334,147125891146.80722,-7183884.914835347,-37791.23140925281,12748.575472839088,-2654.9678131246974,0.9730877776854336
240933557.3358261,3,1663,-2099263543.5110087,147133868368.1767,-10349170.197418224,-30266.43195699451,-527.9027401813823,-0.37910404733113295,-2090344513.9577458,147125910364.0082,-7188929.8637968,-37794.68264356845,12755.737931150223,-2657.331017830692,0.969240749864781
240933557.3358261,3,1153,-2099263543.5110087,147133868368.1767,-10349170.197418224,-30266.43195699451,-527.9027401813823,-0.37910404733113295,-2090098676.365815,147125812798.4472,-7167926.201115344,-37777.50316931594,12720.519336034307,-2645.307996113131,0.9885182729565413
240933557.3358261,3,2106,-2099263543.5110087,147133868368.1767,-10349170.197418224,-30266.43195699451,-527.9027401813823,-0.37910404733113295,-2090023894.2192566,147125773992.72516,-7158286.135758002,-37771.131199347554,12709.530954797252,-2641.6270929864377,0.9949147784276319
240933621.9820462,3,2788,-2101220153.8075304,147133834228.47934,-10349194.708517296,-30266.428076964377,-528.2981418446278,-0.379210945953269,-2091943172.5519083,147126370736.37088,-7281900.345527884,-37852.12714517099,12736.423239856704,-2656.749839414224,0.9638629213968368
240933621.9820462,3,1244,-2101220153.8075304,147133834228.47934,-10349194.708517296,-30266.428076964377,-528.2981418446278,-0.379210945953269,-2092326314.699296,147126534790.39603,-7317731.110136243,-37885.31315894529,12794.622012363348,-2677.2731508655124,0.9327489214629962
240933684.53378618,3,33,-2103113371.4291816,147133801170.54547,-10349218.432056384,-30266.424317737426,-528.6807330696305,-0.37931436481319364,-2093367038.8511708,147126766473.16275,-7360285.854431005,-37894.453244224685,12695.570552297404,-2648.6424560864743,0.9709690333158559
240933684.53378618,3,2776,-2103113371.4291816,147133801170.54547,-10349218.432056384,-30266.424317737426,-528.6807330696305,-0.37931436481319364,-2093275987.9988542,147126730854.80478,-7352731.695702707,-37886.41278620984,12682.841522983852,-2644.107647137576,0.9783170141459352
240933684.53378618,3,1404,-2103113371.4291816,147133801170.54547,-10349218.432056384,-30266.424317737426,-528.6807330696305,-0.37931436481319364,-2093545605.7588742,147126835216.38797,-7374637.641508254,-37910.27465388112,12721.026809733261,-2657.762069102809,0.9566323757383491
240933821.6898246,3,662,-2107264593.7194495,147133728601.26035,-10349270.472860068,-30266.416058059418,-529.5196345149977,-0.3795410731560002,-2097189196.218572,147127908331.15063,-7593572.23119525,-38047.266102139074,12690.343239816024,-2662.258203989278,0.937385954563413
240933888.2119164,3,2790,-2109277978.8927538,147133693362.97348,-10349295.724382592,-30266.412043675267,-529.9265107413895,-0.379651001197927,-2098179441.9992533,147128102991.56738,-7626273.6725359615,-38015.840297651055,12564.462463170068,-2622.551656361309,0.9972988038229584
240933961.44290254,3,1755,-2111494417.9322424,147133654539.53204,-10349323.531030176,-30266.40761812079,-530.3744215886887,-0.37977199468306,-2100152621.4779258,147128690864.73978,-7747108.63399286,-38078.99088389215,12540.101162003084,-2621.970511208546,0.9917415002919175
240934036.06719303,3,819,-2113753026.958483,147133614943.6866,-10349351.87584555,-30266.40310156088,-530.8308547696421,-0.3798952675292543,-2102831736.127336,147129548156.32144,-7926616.635548455,-38233.6209135771,12591.282441960966,-2653.6772600695986,0.9331147000318879
240934036.06719303,3,2813,-2113753026.958483,147133614943.6866,-10349351.87584555,-30266.40310156088,-530.8308547696421,-0.3798952675292543,-2102506734.082115,147129409904.0346,-7895398.348238665,-38185.330003831725,12550.669874320749,-2636.5814514842355,0.9606983711939671
240934175.99998713,3,1567,-2117988288.7181609,147133540603.15854,-10349405.051821629,-30266.394613754703,-531.6867427519728,-0.38012636262174854,-2106534052.1748729,147130624723.367,-8142871.935007421,-38335.60649927252,12504.94662948144,-2641.209080942076,0.942575766560074
